8,99,2,2,0.0
9,99,1,1,0.0
10,99,3809,3809,0.0
11,99,1444,1444,0.0
12,99,1278,1278,0.0
13,99,1719,1719,0.0
14,99,1429,1429,0.0
15,99,4095,4095,0.0
8,31,[62, 74, 75, 75, 70],71.2,4.955804677345547
9,31,[1, 1, 1, 1, 1],1,0.0
10,31,[77, 78, 80, 81, 81],79.4,1.624807680927192
11,31,[91, 91, 88, 88, 87],89,1.6733200530681511
12,31,[78, 80, 79, 81, 77],79,1.4142135623730951
13,31,[81, 84, 84, 83, 84],83.2,1.16619037896906
14,31,[90, 87, 90, 90, 89],89.2,1.16619037896906
15,31,[93, 92, 93, 93, 93],92.8,0.4
8,30,[76, 77, 78, 73, 73],75.4,2.0591260281974
9,30,[1, 1, 1, 1, 1],1,0.0
10,30,[80, 82, 79, 81, 79],80.2,1.16619037896906
11,30,[91, 92, 90, 93, 93],91.8,1.16619037896906
12,30,[83, 85, 82, 82, 81],82.6,1.3564659966250536
13,30,[85, 87, 88, 87, 89],87.2,1.3266499161421599
14,30,[91, 95, 93, 95, 91],93,1.7888543819998317
15,30,[96, 98, 98, 92, 96],96,2.1908902300206643
8,29,[75, 74, 80, 77, 79],77,2.280350850198276
9,29,[1, 1, 1, 1, 1],1,0.0
10,29,[82, 87, 84, 85, 84],84.4,1.624807680927192
11,29,[95, 98, 96, 97, 95],96.2,1.16619037896906
12,29,[86, 83, 84, 85, 86],84.8,1.16619037896906
13,29,[93, 90, 89, 92, 93],91.4,1.624807680927192
14,29,[98, 100, 98, 96, 97],97.8,1.3266499161421599
15,29,[101, 100, 101, 98, 101],100.2,1.16619037896906
8,28,[83, 84, 80, 80, 79],81.2,1.9390719429665315
9,28,[1, 1, 1, 1, 1],1,0.0
10,28,[89, 89, 88, 89, 90],89,0.6324555320336759
11,28,[99, 100, 100, 101, 102],100.4,1.019803902718557
12,28,[90, 88, 89, 91, 87],89,1.4142135623730951
13,28,[93, 94, 95, 94, 93],93.8,0.7483314773547883
14,28,[101, 103, 104, 100, 103],102.2,1.4696938456699067
15,28,[106, 106, 105, 105, 105],105.4,0.4898979485566356
8,27,[85, 87, 88, 84, 85],85.8,1.4696938456699067
9,27,[1, 1, 1, 1, 1],1,0.0
10,27,[96, 96, 93, 93, 96],94.8,1.4696938456699067
11,27,[106, 109, 108, 109, 107],107.8,1.16619037896906
12,27,[95, 95, 95, 97, 95],95.4,0.8
13,27,[102, 99, 102, 103, 98],100.8,1.9390719429665315
14,27,[110, 112, 111, 112, 110],111,0.8944271909999159
15,27,[115, 112, 115, 111, 114],113.4,1.624807680927192
8,26,[85, 87, 93, 94, 89],89.6,3.4409301068170506
9,26,[1, 1, 1, 1, 1],1,0.0
10,26,[99, 100, 102, 99, 98],99.6,1.3564659966250536
11,26,[115, 114, 114, 115, 109],113.4,2.244994432064365
12,26,[99, 100, 101, 98, 99],99.4,1.019803902718557
13,26,[106, 105, 106, 106, 106],105.8,0.4
14,26,[115, 115, 115, 116, 116],115.4,0.4898979485566356
15,26,[115, 122, 118, 116, 118],117.8,2.4
8,25,[92, 101, 97, 97, 98],97,2.898275349237888
9,25,[1, 1, 1, 1, 1],1,0.0
10,25,[107, 106, 100, 108, 105],105.2,2.7856776554368237
11,25,[119, 120, 120, 116, 120],119,1.5491933384829668
12,25,[103, 103, 104, 104, 106],104,1.0954451150103321
13,25,[111, 111, 108, 110, 111],110.2,1.16619037896906
14,25,[124, 123, 124, 124, 124],123.8,0.4
15,25,[130, 126, 129, 126, 125],127.2,1.9390719429665315
8,24,[94, 99, 101, 97, 98],97.8,2.3151673805580453
9,24,[1, 1, 1, 1, 1],1,0.0
10,24,[114, 112, 105, 112, 106],109.8,3.6
11,24,[128, 127, 131, 129, 129],128.8,1.3266499161421599
12,24,[111, 109, 109, 111, 110],110,0.8944271909999159
13,24,[118, 118, 118, 116, 115],117,1.2649110640673518
14,24,[130, 129, 128, 130, 134],130.2,2.039607805437114
15,24,[132, 129, 133, 131, 132],131.4,1.3564659966250536
8,23,[115, 105, 115, 115, 112],112.4,3.878143885933063
9,23,[1, 1, 1, 1, 1],1,0.0
10,23,[122, 120, 118, 123, 120],120.6,1.7435595774162693
11,23,[138, 134, 139, 138, 141],138,2.280350850198276
12,23,[122, 121, 121, 123, 118],121,1.6733200530681511
13,23,[129, 129, 130, 127, 129],128.8,0.9797958971132712
14,23,[147, 146, 143, 143, 141],144,2.1908902300206643
15,23,[147, 145, 143, 146, 143],144.8,1.6
8,22,[117, 120, 116, 116, 110],115.8,3.249615361854384
9,22,[1, 1, 1, 1, 1],1,0.0
10,22,[126, 128, 128, 125, 131],127.6,2.0591260281974
11,22,[147, 152, 146, 147, 145],147.4,2.4166091947189146
12,22,[122, 125, 127, 123, 126],124.6,1.8547236990991407
13,22,[137, 135, 134, 135, 138],135.8,1.469693845669907
14,22,[152, 156, 157, 153, 157],155,2.0976176963403033
15,22,[162, 155, 160, 158, 158],158.6,2.33238075793812
8,21,[129, 117, 120, 128, 120],122.8,4.791659420284375
9,21,[1, 1, 1, 1, 1],1,0.0
10,21,[142, 138, 133, 137, 140],138,3.03315017762062
11,21,[160, 161, 155, 161, 153],158,3.3466401061363023
12,21,[137, 134, 137, 136, 135],135.8,1.1661903789690602
13,21,[145, 147, 149, 146, 143],146,2.0
14,21,[170, 164, 169, 164, 169],167.2,2.6381811916545836
15,21,[170, 169, 168, 169, 172],169.6,1.3564659966250536
8,20,[129, 135, 127, 138, 128],131.4,4.317406628984581
9,20,[1, 1, 1, 1, 1],1,0.0
10,20,[146, 148, 147, 148, 147],147.2,0.7483314773547882
11,20,[169, 168, 176, 170, 174],171.4,3.0724582991474434
12,20,[142, 143, 144, 144, 142],143,0.8944271909999159
13,20,[158, 158, 159, 160, 157],158.4,1.019803902718557
14,20,[179, 178, 182, 180, 180],179.8,1.3266499161421599
15,20,[185, 183, 181, 184, 182],183,1.4142135623730951
8,19,[151, 149, 152, 141, 145],147.6,4.079215610874228
9,19,[1, 1, 1, 1, 1],1,0.0
10,19,[170, 162, 164, 165, 168],165.8,2.85657137141714
11,19,[195, 191, 186, 196, 190],191.6,3.6110940170535577
12,19,[159, 159, 160, 159, 159],159.2,0.4
13,19,[176, 176, 172, 175, 171],174,2.0976176963403033
14,19,[199, 204, 202, 207, 206],203.6,2.870540018881465
15,19,[404, 401, 413, 405, 415],407.6,5.4258639865002145
8,18,[162, 151, 154, 150, 165],156.4,6.019966777316965
9,18,[1, 1, 1, 1, 1],1,0.0
10,18,[177, 178, 174, 177, 181],177.4,2.244994432064365
11,18,[209, 203, 206, 207, 205],206,2.0
12,18,[164, 170, 170, 166, 170],168,2.5298221281347035
13,18,[188, 188, 190, 191, 187],188.8,1.469693845669907
14,18,[221, 220, 224, 215, 224],220.8,3.3105890714493698
15,18,[436, 450, 441, 441, 437],441,4.9396356140913875
8,17,[167, 171, 182, 164, 179],172.6,6.887670143089026
9,17,[1, 1, 1, 1, 1],1,0.0
10,17,[202, 201, 192, 199, 196],198,3.63318042491699
11,17,[227, 239, 224, 232, 231],230.6,5.083306010855534
12,17,[191, 187, 188, 187, 191],188.8,1.8330302779823362
13,17,[209, 207, 210, 212, 210],209.6,1.624807680927192
14,17,[510, 505, 495, 499, 504],502.6,5.1613951602255765
15,17,[488, 497, 489, 498, 490],492.4,4.223742416388575
8,16,[196, 196, 180, 185, 188],189,6.260990336999411
9,16,[1, 1, 1, 1, 1],1,0.0
10,16,[220, 217, 219, 211, 221],217.6,3.555277766926235
11,16,[247, 241, 249, 253, 251],248.2,4.1182520563948
12,16,[202, 205, 205, 207, 209],205.6,2.33238075793812
13,16,[227, 234, 230, 226, 231],229.6,2.870540018881465
14,16,[572, 564, 560, 559, 559],562.8,4.955804677345547
15,16,[525, 532, 541, 534, 538],534,5.477225575051661
8,15,[249, 259, 261, 261, 255],257,4.560701700396552
9,15,[1, 1, 1, 1, 1],1,0.0
10,15,[289, 297, 291, 291, 296],292.8,3.1240998703626617
11,15,[348, 352, 348, 343, 339],346,4.516635916254486
12,15,[273, 263, 271, 267, 274],269.6,4.079215610874228
13,15,[634, 633, 623, 633, 621],628.8,5.6
14,15,[1217, 1212, 1210, 1219, 1218],1215.2,3.54400902933387
15,15,[1514, 1443, 1525, 1440, 1402],1464.8,47.071859959003106
8,14,[262, 260, 261, 255, 256],258.8,2.7856776554368237
9,14,[1, 1, 1, 1, 1],1,0.0
10,14,[290, 295, 295, 282, 295],291.4,5.083306010855534
11,14,[351, 344, 343, 352, 350],348,3.7416573867739413
12,14,[263, 269, 269, 262, 267],266,2.9664793948382653
13,14,[637, 629, 633, 619, 621],627.8,6.881860213634101
14,14,[1198, 1201, 1205, 1207, 1200],1202.2,3.3105890714493698
15,14,[1472, 1468, 1474, 1462, 1446],1464.4,10.071742649611338
8,13,[255, 242, 253, 256, 259],253,5.830951894845301
9,13,[1, 1, 1, 1, 1],1,0.0
10,13,[294, 294, 278, 297, 293],291.2,6.734983296193095
11,13,[348, 352, 347, 327, 337],342.2,9.064215354899728
12,13,[267, 260, 266, 265, 265],264.6,2.4166091947189146
13,13,[613, 626, 627, 623, 619],621.6,5.122499389946279
14,13,[1192, 1204, 1195, 1201, 1206],1199.6,5.314132102234569
15,13,[1480, 1439, 1448, 1458, 1448],1454.6,14.051334456200237
8,31,[79, 77, 81, 82, 80],79.8,1.7204650534085253
8,16,[249],249,0.0
